1,Alex Abrines\abrinal01,SG,24,OKC,6,110,9.5,.575,.650,.100,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,,0.1,0.1,0.2,.107,,-1.6,1.6,0.1,0.1
2,Steven Adams\adamsst01,C,24,OKC,6,200,16.0,.609,.000,.283,10.2,13.6,11.9,7.0,1.0,1.8,7.2,12.2,,0.5,0.2,0.7,.158,,0.2,1.5,1.7,0.2
3,Bam Adebayo\adebaba01,C,20,MIA,5,77,6.1,.402,.067,.933,12.1,15.4,13.7,0.0,0.0,2.2,8.6,13.0,,-0.1,0.0,-0.1,-0.035,,-8.4,-2.1,-10.5,-0.2
4,LaMarcus Aldridge\aldrila01,C,32,SAS,5,177,24.8,.599,.063,.525,7.8,22.6,14.7,13.2,0.9,1.0,8.4,27.8,,0.6,0.1,0.7,.188,,1.8,1.4,3.2,0.2
5,Al-Farouq Aminu\aminual01,PF,27,POR,4,131,21.3,.652,.577,.038,9.4,22.1,15.2,5.8,1.5,1.2,10.2,19.2,,0.4,0.0,0.4,.152,,3.0,0.4,3.4,0.2
6,Justin Anderson\anderju01,SF,24,PHI,7,33,2.4,.500,.875,.000,3.2,26.3,14.6,0.0,1.5,0.0,20.0,12.7,,0.0,0.0,0.0,.014,,-5.9,-3.9,-9.8,-0.1
7,Kyle Anderson\anderky01,SF,24,SAS,5,73,17.5,.620,.200,.200,7.2,13.3,10.1,7.4,4.2,1.2,12.1,15.5,,0.1,0.1,0.2,.130,,-0.6,4.7,4.1,0.1
8,Ryan Anderson\anderry01,PF,29,HOU,9,81,9.2,.528,.778,.000,4.1,12.4,8.2,10.2,1.8,1.1,14.3,11.6,,0.0,0.1,0.1,.075,,-1.3,0.8,-0.4,0.0
9,Giannis Antetokounmpo\antetgi01,PF,23,MIL,7,280,26.5,.620,.116,.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,,1.0,0.4,1.4,.239,,4.5,2.2,6.7,0.6
10,Carmelo Anthony\anthoca01,PF,33,OKC,6,194,9.6,.452,.389,.208,1.7,16.7,9.3,1.6,2.5,1.9,7.1,19.1,,-0.2,0.3,0.1,.018,,-5.0,0.2,-4.8,-0.1
11,OG Anunoby\anunoog01,SF,20,TOR,10,238,12.7,.695,.558,.212,4.5,6.3,5.4,4.3,1.3,1.3,9.5,12.0,,0.5,0.0,0.5,.095,,1.1,0.7,1.8,0.2
12,Trevor Ariza\arizatr01,SF,32,HOU,13,418,9.6,.550,.667,.232,1.3,11.7,6.5,6.0,1.4,0.2,4.4,12.2,,0.4,0.4,0.8,.089,,-0.1,0.4,0.3,0.2
13,Luke Babbitt\babbilu01,SF,28,MIA,2,3,-13.6,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,,0.0,0.0,0.0,-0.391,,-17.9,-2.2,-20.1,0.0
