Fri Feb 1 2019,7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,
Fri Feb 1 2019,10:00p,Houston Rockets,,Denver Nuggets,,,,,
Fri Feb 1 2019,8:00p,Oklahoma City Thunder,,Miami Heat,,,,,
Fri Feb 1 2019,7:30p,Boston Celtics,,New York Knicks,,,,,
Fri Feb 1 2019,9:00p,Atlanta Hawks,,Utah Jazz,,,,,
Sat Feb 2 2019,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,
Sat Feb 2 2019,7:30p,Dallas Mavericks,,Cleveland Cavaliers,,,,,
Sat Feb 2 2019,5:00p,Los Angeles Clippers,,Detroit Pistons,,,,,
Sat Feb 2 2019,8:30p,Los Angeles Lakers,,Golden State Warriors,,,,,
Sat Feb 2 2019,7:30p,Indiana Pacers,,Miami Heat,,,,,
Sat Feb 2 2019,9:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Sat Feb 2 2019,7:00p,Brooklyn Nets,,Orlando Magic,,,,,
Sat Feb 2 2019,9:00p,Atlanta Hawks,,Phoenix Suns,,,,,
Sat Feb 2 2019,10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,
Sat Feb 2 2019,8:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,
Sat Feb 2 2019,9:00p,Houston Rockets,,Utah Jazz,,,,,
Sat Feb 2 2019,7:00p,Milwaukee Bucks,,Washington Wizards,,,,,
Sun Feb 3 2019,2:00p,Oklahoma City Thunder,,Boston Celtics,,,,,
Sun Feb 3 2019,1:00p,Memphis Grizzlies,,New York Knicks,,,,,
Sun Feb 3 2019,3:00p,Los Angeles Clippers,,Toronto Raptors,,,,,
Mon Feb 4 2019,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Mon Feb 4 2019,7:00p,Denver Nuggets,,Detroit Pistons,,,,,
Mon Feb 4 2019,8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,
Mon Feb 4 2019,9:00p,Houston Rockets,,Phoenix Suns,,,,,
Mon Feb 4 2019,10:00p,San Antonio Spurs,,Sacramento Kings,,,,,
Mon Feb 4 2019,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Tue Feb 5 2019,7:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,
Tue Feb 5 2019,7:00p,Boston Celtics,,Cleveland Cavaliers,,,,,
Tue Feb 5 2019,7:00p,Los Angeles Lakers,,Indiana Pacers,,,,,
Tue Feb 5 2019,8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,
Tue Feb 5 2019,7:30p,Detroit Pistons,,New York Knicks,,,,,
Tue Feb 5 2019,8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,
Tue Feb 5 2019,8:00p,Toronto Raptors,,Philadelphia 76ers,,,,,
Tue Feb 5 2019,10:30p,Miami Heat,,Portland Trail Blazers,,,,,
Wed Feb 6 2019,7:30p,Denver Nuggets,,Brooklyn Nets,,,,,
Wed Feb 6 2019,8:00p,New Orleans Pelicans,,Chicago Bulls,,,,,
Wed Feb 6 2019,8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
Wed Feb 6 2019,10:30p,San Antonio Spurs,,Golden State Warriors,,,,,
Wed Feb 6 2019,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
Wed Feb 6 2019,10:00p,Houston Rockets,,Sacramento Kings,,,,,
Wed Feb 6 2019,9:00p,Phoenix Suns,,Utah Jazz,,,,,
Thu Feb 7 2019,7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Thu Feb 7 2019,8:00p,Los Angeles Lakers,,Boston Celtics,,,,,
Thu Feb 7 2019,7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,
Thu Feb 7 2019,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,
Thu Feb 7 2019,7:00p,Minnesota Timberwolves,,Orlando Magic,,,,,
Thu Feb 7 2019,10:30p,San Antonio Spurs,,Portland Trail Blazers,,,,,
Fri Feb 8 2019,7:30p,Chicago Bulls,,Brooklyn Nets,,,,,
Fri Feb 8 2019,8:30p,Milwaukee Bucks,,Dallas Mavericks,,,,,
Fri Feb 8 2019,7:00p,New York Knicks,,Detroit Pistons,,,,,
Fri Feb 8 2019,9:30p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,
Fri Feb 8 2019,7:00p,Denver Nuggets,,Philadelphia 76ers,,,,,
Fri Feb 8 2019,9:00p,Golden State Warriors,,Phoenix Suns,,,,,
Fri Feb 8 2019,10:00p,Miami Heat,,Sacramento Kings,,,,,
Fri Feb 8 2019,7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Sat Feb 9 2019,7:30p,Charlotte Hornets,,Atlanta Hawks,,,,,
Sat Feb 9 2019,8:00p,Los Angeles Clippers,,Boston Celtics,,,,,
Sat Feb 9 2019,8:00p,Washington Wizards,,Chicago Bulls,,,,,
Sat Feb 9 2019,8:30p,Oklahoma City Thunder,,Houston Rockets,,,,,
Sat Feb 9 2019,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,
Sat Feb 9 2019,8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,
Sat Feb 9 2019,9:00p,Orlando Magic,,Milwaukee Bucks,,,,,
Sat Feb 9 2019,7:30p,Toronto Raptors,,New York Knicks,,,,,
Sat Feb 9 2019,5:00p,San Antonio Spurs,,Utah Jazz,,,,,
Sun Feb 10 2019,7:30p,Orlando Magic,,Atlanta Hawks,,,,,
Sun Feb 10 2019,3:00p,Portland Trail Blazers,,Dallas Mavericks,,,,,
Sun Feb 10 2019,8:30p,Miami Heat,,Golden State Warriors,,,,,
Sun Feb 10 2019,3:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
Sun Feb 10 2019,6:00p,Phoenix Suns,,Sacramento Kings,,,,,
Mon Feb 11 2019,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,
Mon Feb 11 2019,7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
Mon Feb 11 2019,9:00p,Miami Heat,,Denver Nuggets,,,,,
Mon Feb 11 2019,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Mon Feb 11 2019,8:00p,Dallas Mavericks,,Houston Rockets,,,,,
Mon Feb 11 2019,7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
Mon Feb 11 2019,8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,
Mon Feb 11 2019,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Mon Feb 11 2019,7:30p,Brooklyn Nets,,Toronto Raptors,,,,,
Tue Feb 12 2019,7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,
Tue Feb 12 2019,10:30p,Utah Jazz,,Golden State Warriors,,,,,
Tue Feb 12 2019,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
Tue Feb 12 2019,8:00p,Orlando Magic,,New Orleans Pelicans,,,,,
Tue Feb 12 2019,8:00p,Boston Celtics,,Philadelphia 76ers,,,,,
Wed Feb 13 2019,7:30p,Detroit Pistons,,Boston Celtics,,,,,
Wed Feb 13 2019,8:00p,Memphis Grizzlies,,Chicago Bulls,,,,,
Wed Feb 13 2019,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
Wed Feb 13 2019,8:30p,Miami Heat,,Dallas Mavericks,,,,,
Wed Feb 13 2019,9:00p,Sacramento Kings,,Denver Nuggets,,,,,
Wed Feb 13 2019,7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,
Wed Feb 13 2019,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
Wed Feb 13 2019,9:30p,Houston Rockets,,Minnesota Timberwolves,,,,,
Wed Feb 13 2019,7:30p,Philadelphia 76ers,,New York Knicks,,,,,
Wed Feb 13 2019,10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
Wed Feb 13 2019,7:30p,Washington Wizards,,Toronto Raptors,,,,,
Thu Feb 14 2019,7:30p,New York Knicks,,Atlanta Hawks,,,,,
Thu Feb 14 2019,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,
Thu Feb 14 2019,7:00p,Charlotte Hornets,,Orlando Magic,,,,,
Thu Feb 21 2019,7:30p,Portland Trail Blazers,,Brooklyn Nets,,,,,
Thu Feb 21 2019,7:00p,Phoenix Suns,,Cleveland Cavaliers,,,,,
Thu Feb 21 2019,10:30p,Sacramento Kings,,Golden State Warriors,,,,,
Thu Feb 21 2019,10:30p,Houston Rockets,,Los Angeles Lakers,,,,,
Thu Feb 21 2019,8:00p,Boston Celtics,,Milwaukee Bucks,,,,,
Thu Feb 21 2019,7:00p,Miami Heat,,Philadelphia 76ers,,,,,
Fri Feb 22 2019,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
Fri Feb 22 2019,7:00p,Washington Wizards,,Charlotte Hornets,,,,,
Fri Feb 22 2019,8:30p,Denver Nuggets,,Dallas Mavericks,,,,,
Fri Feb 22 2019,7:00p,New Orleans Pelicans,,Indiana Pacers,,,,,
Fri Feb 22 2019,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Fri Feb 22 2019,7:30p,Minnesota Timberwolves,,New York Knicks,,,,,
Fri Feb 22 2019,9:30p,Utah Jazz,,Oklahoma City Thunder,,,,,
Fri Feb 22 2019,7:00p,Chicago Bulls,,Orlando Magic,,,,,
Fri Feb 22 2019,7:00p,San Antonio Spurs,,Toronto Raptors,,,,,
Sat Feb 23 2019,7:00p,Phoenix Suns,,Atlanta Hawks,,,,,
Sat Feb 23 2019,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Sat Feb 23 2019,7:00p,Brooklyn Nets,,Charlotte Hornets,,,,,
Sat Feb 23 2019,7:00p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,
Sat Feb 23 2019,8:30p,Houston Rockets,,Golden State Warriors,,,,,
Sat Feb 23 2019,7:30p,Detroit Pistons,,Miami Heat,,,,,
Sat Feb 23 2019,8:30p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,
Sat Feb 23 2019,7:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,
Sat Feb 23 2019,8:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,
Sat Feb 23 2019,1:00p,Portland Trail Blazers,,Philadelphia 76ers,,,,,
Sat Feb 23 2019,10:00p,Dallas Mavericks,,Utah Jazz,,,,,
Sat Feb 23 2019,7:00p,Indiana Pacers,,Washington Wizards,,,,,
Sun Feb 24 2019,5:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
Sun Feb 24 2019,7:30p,San Antonio Spurs,,New York Knicks,,,,,
Sun Feb 24 2019,3:30p,Orlando Magic,,Toronto Raptors,,,,,
Mon Feb 25 2019,7:30p,San Antonio Spurs,,Brooklyn Nets,,,,,
Mon Feb 25 2019,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,
Mon Feb 25 2019,7:00p,Golden State Warriors,,Charlotte Hornets,,,,,
Mon Feb 25 2019,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,
Mon Feb 25 2019,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Mon Feb 25 2019,8:00p,Atlanta Hawks,,Houston Rockets,,,,,
Mon Feb 25 2019,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,
Mon Feb 25 2019,8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
Mon Feb 25 2019,7:30p,Phoenix Suns,,Miami Heat,,,,,
Mon Feb 25 2019,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,
Mon Feb 25 2019,8:00p,Philadelphia 76ers,,New Orleans Pelicans,,,,,
Tue Feb 26 2019,10:30p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Tue Feb 26 2019,7:30p,Orlando Magic,,New York Knicks,,,,,
Tue Feb 26 2019,8:00p,Boston Celtics,,Toronto Raptors,,,,,
Wed Feb 27 2019,7:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,
Wed Feb 27 2019,7:30p,Portland Trail Blazers,,Boston Celtics,,,,,
Wed Feb 27 2019,7:30p,Washington Wizards,,Brooklyn Nets,,,,,
Wed Feb 27 2019,7:00p,Houston Rockets,,Charlotte Hornets,,,,,
Wed Feb 27 2019,8:30p,Indiana Pacers,,Dallas Mavericks,,,,,
Wed Feb 27 2019,10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Wed Feb 27 2019,8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,
Wed Feb 27 2019,7:30p,Golden State Warriors,,Miami Heat,,,,,
Wed Feb 27 2019,10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,
Wed Feb 27 2019,8:00p,Detroit Pistons,,San Antonio Spurs,,,,,
Wed Feb 27 2019,9:00p,Los Angeles Clippers,,Utah Jazz,,,,,
Thu Feb 28 2019,9:00p,Utah Jazz,,Denver Nuggets,,,,,
Thu Feb 28 2019,8:00p,Miami Heat,,Houston Rockets,,,,,
Thu Feb 28 2019,7:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,
Thu Feb 28 2019,7:30p,Cleveland Cavaliers,,New York Knicks,,,,,
Thu Feb 28 2019,9:30p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,
Thu Feb 28 2019,7:00p,Golden State Warriors,,Orlando Magic,,,,,
