Tue Jan 1 2019,9:00p,New York Knicks,,Denver Nuggets,,,,,
Tue Jan 1 2019,10:30p,Philadelphia 76ers,,Los Angeles Clippers,,,,,
Tue Jan 1 2019,8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,
Tue Jan 1 2019,9:00p,Portland Trail Blazers,,Sacramento Kings,,,,,
Tue Jan 1 2019,7:30p,Utah Jazz,,Toronto Raptors,,,,,
Wed Jan 2 2019,8:00p,Minnesota Timberwolves,,Boston Celtics,,,,,
Wed Jan 2 2019,7:30p,New Orleans Pelicans,,Brooklyn Nets,,,,,
Wed Jan 2 2019,8:00p,Orlando Magic,,Chicago Bulls,,,,,
Wed Jan 2 2019,7:00p,Dallas Mavericks,,Charlotte Hornets,,,,,
Wed Jan 2 2019,7:00p,Miami Heat,,Cleveland Cavaliers,,,,,
Wed Jan 2 2019,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Wed Jan 2 2019,8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,
Wed Jan 2 2019,9:00p,Philadelphia 76ers,,Phoenix Suns,,,,,
Wed Jan 2 2019,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Thu Jan 3 2019,10:30p,Houston Rockets,,Golden State Warriors,,,,,
Thu Jan 3 2019,10:00p,Denver Nuggets,,Sacramento Kings,,,,,
Thu Jan 3 2019,8:00p,Toronto Raptors,,San Antonio Spurs,,,,,
Fri Jan 4 2019,7:30p,Dallas Mavericks,,Boston Celtics,,,,,
Fri Jan 4 2019,8:00p,Indiana Pacers,,Chicago Bulls,,,,,
Fri Jan 4 2019,7:30p,Utah Jazz,,Cleveland Cavaliers,,,,,
Fri Jan 4 2019,10:30p,New York Knicks,,Los Angeles Lakers,,,,,
Fri Jan 4 2019,8:00p,Brooklyn Nets,,Memphis Grizzlies,,,,,
Fri Jan 4 2019,8:00p,Washington Wizards,,Miami Heat,,,,,
Fri Jan 4 2019,8:30p,Atlanta Hawks,,Milwaukee Bucks,,,,,
Fri Jan 4 2019,8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,
Fri Jan 4 2019,9:00p,Los Angeles Clippers,,Phoenix Suns,,,,,
Fri Jan 4 2019,10:30p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Sat Jan 5 2019,8:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,
Sat Jan 5 2019,5:00p,Charlotte Hornets,,Denver Nuggets,,,,,
Sat Jan 5 2019,7:00p,Utah Jazz,,Detroit Pistons,,,,,
Sat Jan 5 2019,8:30p,Toronto Raptors,,Milwaukee Bucks,,,,,
Sat Jan 5 2019,7:30p,Dallas Mavericks,,Philadelphia 76ers,,,,,
Sat Jan 5 2019,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
Sat Jan 5 2019,10:00p,Golden State Warriors,,Sacramento Kings,,,,,
Sat Jan 5 2019,8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Sun Jan 6 2019,6:00p,Miami Heat,,Atlanta Hawks,,,,,
Sun Jan 6 2019,3:30p,Brooklyn Nets,,Chicago Bulls,,,,,
Sun Jan 6 2019,3:30p,Orlando Magic,,Los Angeles Clippers,,,,,
Sun Jan 6 2019,3:30p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
Sun Jan 6 2019,7:00p,Washington Wizards,,Oklahoma City Thunder,,,,,
Sun Jan 6 2019,8:00p,Charlotte Hornets,,Phoenix Suns,,,,,
Sun Jan 6 2019,7:30p,Indiana Pacers,,Toronto Raptors,,,,,
Mon Jan 7 2019,7:30p,Brooklyn Nets,,Boston Celtics,,,,,
Mon Jan 7 2019,8:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
Mon Jan 7 2019,7:00p,San Antonio Spurs,,Detroit Pistons,,,,,
Mon Jan 7 2019,8:00p,Denver Nuggets,,Houston Rockets,,,,,
Mon Jan 7 2019,8:00p,Utah Jazz,,Milwaukee Bucks,,,,,
Mon Jan 7 2019,8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,
Mon Jan 7 2019,10:00p,New York Knicks,,Portland Trail Blazers,,,,,
