Tue Oct 16 2018,8:00p,Philadelphia 76ers,,Boston Celtics,,,,,
Tue Oct 16 2018,10:30p,Oklahoma City Thunder,,Golden State Warriors,,,,,
Wed Oct 17 2018,7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
Wed Oct 17 2018,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,
Wed Oct 17 2018,8:00p,New Orleans Pelicans,,Houston Rockets,,,,,
Wed Oct 17 2018,7:00p,Memphis Grizzlies,,Indiana Pacers,,,,,
Wed Oct 17 2018,10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,
Wed Oct 17 2018,7:30p,Atlanta Hawks,,New York Knicks,,,,,
Wed Oct 17 2018,7:00p,Miami Heat,,Orlando Magic,,,,,
Wed Oct 17 2018,10:30p,Dallas Mavericks,,Phoenix Suns,,,,,
Wed Oct 17 2018,10:00p,Utah Jazz,,Sacramento Kings,,,,,
Wed Oct 17 2018,8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,
Wed Oct 17 2018,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,
Thu Oct 18 2018,8:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Thu Oct 18 2018,10:30p,Los Angeles Lakers,,Portland Trail Blazers,,,,,
Thu Oct 18 2018,8:00p,Miami Heat,,Washington Wizards,,,,,
Fri Oct 19 2018,7:30p,New York Knicks,,Brooklyn Nets,,,,,
Fri Oct 19 2018,10:30p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Fri Oct 19 2018,8:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,
Fri Oct 19 2018,8:30p,Indiana Pacers,,Milwaukee Bucks,,,,,
Fri Oct 19 2018,8:00p,Cleveland Cavaliers,,Minnesota Timberwolves,,,,,
Fri Oct 19 2018,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,
Fri Oct 19 2018,7:00p,Charlotte Hornets,,Orlando Magic,,,,,
Fri Oct 19 2018,8:00p,Boston Celtics,,Toronto Raptors,,,,,
Fri Oct 19 2018,10:30p,Golden State Warriors,,Utah Jazz,,,,,
Sat Oct 20 2018,8:00p,Detroit Pistons,,Chicago Bulls,,,,,
Sat Oct 20 2018,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Sat Oct 20 2018,9:00p,Phoenix Suns,,Denver Nuggets,,,,,
Sat Oct 20 2018,7:00p,Brooklyn Nets,,Indiana Pacers,,,,,
Sat Oct 20 2018,10:30p,Houston Rockets,,Los Angeles Lakers,,,,,
Sat Oct 20 2018,8:00p,Charlotte Hornets,,Miami Heat,,,,,
Sat Oct 20 2018,7:30p,Boston Celtics,,New York Knicks,,,,,
Sat Oct 20 2018,7:30p,Orlando Magic,,Philadelphia 76ers,,,,,
Sat Oct 20 2018,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
Sat Oct 20 2018,7:00p,Toronto Raptors,,Washington Wizards,,,,,
Sun Oct 21 2018,6:00p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
Sun Oct 21 2018,8:00p,Golden State Warriors,,Denver Nuggets,,,,,
Sun Oct 21 2018,9:00p,Houston Rockets,,Los Angeles Clippers,,,,,
Sun Oct 21 2018,7:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,
Mon Oct 22 2018,7:30p,Orlando Magic,,Boston Celtics,,,,,
Mon Oct 22 2018,8:30p,Chicago Bulls,,Dallas Mavericks,,,,,
Mon Oct 22 2018,10:30p,Phoenix Suns,,Golden State Warriors,,,,,
Mon Oct 22 2018,10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,
Mon Oct 22 2018,8:00p,New York Knicks,,Milwaukee Bucks,,,,,
Mon Oct 22 2018,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
Mon Oct 22 2018,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
Mon Oct 22 2018,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,
Mon Oct 22 2018,9:00p,Memphis Grizzlies,,Utah Jazz,,,,,
Tue Oct 23 2018,9:00p,Sacramento Kings,,Denver Nuggets,,,,,
