G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
6,Wed Oct 17 2018,7:30p,,,@,New York Knicks,,,,,,,,
7,Fri Oct 19 2018,8:00p,,,@,Memphis Grizzlies,,,,,,,,
8,Sun Oct 21 2018,6:00p,,,@,Cleveland Cavaliers,,,,,,,,
9,Wed Oct 24 2018,7:00p,,,,Dallas Mavericks,,,,,,,,
10,Sat Oct 27 2018,7:30p,,,,Chicago Bulls,,,,,,,,
11,Mon Oct 29 2018,7:00p,,,@,Philadelphia 76ers,,,,,,,,
12,Tue Oct 30 2018,7:00p,,,@,Cleveland Cavaliers,,,,,,,,
13,Thu Nov 1 2018,7:30p,,,,Sacramento Kings,,,,,,,,
14,Sat Nov 3 2018,7:30p,,,,Miami Heat,,,,,,,,
15,Tue Nov 6 2018,7:00p,,,@,Charlotte Hornets,,,,,,,,
16,Wed Nov 7 2018,7:30p,,,,New York Knicks,,,,,,,,
17,Fri Nov 9 2018,7:30p,,,,Detroit Pistons,,,,,,,,
18,Sun Nov 11 2018,9:30p,,,@,Los Angeles Lakers,,,,,,,,
19,Tue Nov 13 2018,10:30p,,,@,Golden State Warriors,,,,,,,,
20,Thu Nov 15 2018,9:00p,,,@,Denver Nuggets,,,,,,,,
21,Sat Nov 17 2018,7:00p,,,@,Indiana Pacers,,,,,,,,
22,Mon Nov 19 2018,7:30p,,,,Los Angeles Clippers,,,,,,,,
23,Wed Nov 21 2018,7:30p,,,,Toronto Raptors,,,,,,,,
24,Fri Nov 23 2018,7:30p,,,,Boston Celtics,,,,,,,,
25,Sun Nov 25 2018,6:00p,,,,Charlotte Hornets,,,,,,,,
26,Tue Nov 27 2018,7:30p,,,@,Miami Heat,,,,,,,,
27,Wed Nov 28 2018,7:00p,,,@,Charlotte Hornets,,,,,,,,
28,Fri Nov 30 2018,8:00p,,,@,Oklahoma City Thunder,,,,,,,,
29,Mon Dec 3 2018,7:30p,,,,Golden State Warriors,,,,,,,,
30,Wed Dec 5 2018,7:30p,,,,Washington Wizards,,,,,,,,
31,Sat Dec 8 2018,7:30p,,,,Denver Nuggets,,,,,,,,
