5,Tue Oct 16 2018,8:00p,,,,Philadelphia 76ers,,,,,,,,
6,Fri Oct 19 2018,8:00p,,,@,Toronto Raptors,,,,,,,,
7,Sat Oct 20 2018,7:30p,,,@,New York Knicks,,,,,,,,
8,Mon Oct 22 2018,7:30p,,,,Orlando Magic,,,,,,,,
9,Thu Oct 25 2018,8:00p,,,@,Oklahoma City Thunder,,,,,,,,
10,Sat Oct 27 2018,7:00p,,,@,Detroit Pistons,,,,,,,,
11,Tue Oct 30 2018,7:30p,,,,Detroit Pistons,,,,,,,,
12,Thu Nov 1 2018,8:00p,,,,Milwaukee Bucks,,,,,,,,
13,Sat Nov 3 2018,7:00p,,,@,Indiana Pacers,,,,,,,,
14,Mon Nov 5 2018,9:00p,,,@,Denver Nuggets,,,,,,,,
15,Thu Nov 8 2018,9:00p,,,@,Phoenix Suns,,,,,,,,
16,Fri Nov 9 2018,9:30p,,,@,Utah Jazz,,,,,,,,
17,Sun Nov 11 2018,9:00p,,,@,Portland Trail Blazers,,,,,,,,
18,Wed Nov 14 2018,7:30p,,,,Chicago Bulls,,,,,,,,
19,Fri Nov 16 2018,7:00p,,,,Toronto Raptors,,,,,,,,
20,Sat Nov 17 2018,7:30p,,,,Utah Jazz,,,,,,,,
21,Mon Nov 19 2018,7:00p,,,@,Charlotte Hornets,,,,,,,,
22,Wed Nov 21 2018,7:30p,,,,New York Knicks,,,,,,,,
23,Fri Nov 23 2018,7:30p,,,@,Atlanta Hawks,,,,,,,,
24,Sat Nov 24 2018,8:30p,,,@,Dallas Mavericks,,,,,,,,
25,Mon Nov 26 2018,8:00p,,,@,New Orleans Pelicans,,,,,,,,
26,Fri Nov 30 2018,7:00p,,,,Cleveland Cavaliers,,,,,,,,
27,Sat Dec 1 2018,8:00p,,,@,Minnesota Timberwolves,,,,,,,,
28,Thu Dec 6 2018,8:00p,,,,New York Knicks,,,,,,,,
29,Sat Dec 8 2018,8:00p,,,@,Chicago Bulls,,,,,,,,
30,Mon Dec 10 2018,7:30p,,,,New Orleans Pelicans,,,,,,,,
31,Wed Dec 12 2018,7:00p,,,@,Washington Wizards,,,,,,,,
32,Fri Dec 14 2018,7:00p,,,,Atlanta Hawks,,,,,,,,
33,Sat Dec 15 2018,7:00p,,,@,Detroit Pistons,,,,,,,,
34,Wed Dec 19 2018,7:30p,,,,Phoenix Suns,,,,,,,,
35,Fri Dec 21 2018,8:00p,,,,Milwaukee Bucks,,,,,,,,
